Date,Hour,Temp
2016-01-01,00,45.3
2016-01-01,01,45.1
2016-01-01,02,44.8
2016-01-01,03,44.5
2016-01-01,04,44.3
2016-01-01,05,44.0
2016-01-01,06,44.4
2016-01-01,07,44.9
2016-01-01,08,45.3
2016-01-01,09,45.8
2016-01-01,10,46.2
2016-01-01,11,46.7
2016-01-01,12,47.1
2016-01-01,13,47.6
2016-01-01,14,48.0
2016-01-01,15,47.7
2016-01-01,16,47.5
2016-01-01,17,47.2
2016-01-01,18,46.9
2016-01-01,19,46.7
2016-01-01,20,46.4
2016-01-01,21,46.1
2016-01-01,22,45.9
2016-01-01,23,45.6
2016-01-02,00,43.7
2016-01-02,01,43.3
2016-01-02,02,43.0
2016-01-02,03,42.7
2016-01-02,04,42.3
2016-01-02,05,42.0
2016-01-02,06,42.6
2016-01-02,07,43.1
2016-01-02,08,43.7
2016-01-02,09,44.2
2016-01-02,10,44.8
2016-01-02,11,45.3
2016-01-02,12,45.9
2016-01-02,13,46.4
2016-01-02,14,47.0
2016-01-02,15,46.7
2016-01-02,16,46.3
2016-01-02,17,46.0
2016-01-02,18,45.7
2016-01-02,19,45.3
2016-01-02,20,45.0
2016-01-02,21,44.7
2016-01-02,22,44.3
2016-01-02,23,44.0
2016-01-03,00,48.0
2016-01-03,01,46.6
2016-01-03,02,45.2
2016-01-03,03,43.8
2016-01-03,04,42.4
2016-01-03,05,41.0
2016-01-03,06,43.3
2016-01-03,07,45.7
2016-01-03,08,48.0
2016-01-03,09,50.3
2016-01-03,10,52.7
2016-01-03,11,55.0
2016-01-03,12,57.3
2016-01-03,13,59.7
2016-01-03,14,62.0
2016-01-03,15,60.6
2016-01-03,16,59.2
2016-01-03,17,57.8
2016-01-03,18,56.4
2016-01-03,19,55.0
2016-01-03,20,53.6
2016-01-03,21,52.2
2016-01-03,22,50.8
2016-01-03,23,49.4
2016-01-04,00,44.0
2016-01-04,01,42.6
2016-01-04,02,41.2
2016-01-04,03,39.8
2016-01-04,04,38.4
2016-01-04,05,37.0
2016-01-04,06,39.3
2016-01-04,07,41.7
2016-01-04,08,44.0
2016-01-04,09,46.3
2016-01-04,10,48.7
2016-01-04,11,51.0
2016-01-04,12,53.3
2016-01-04,13,55.7
2016-01-04,14,58.0
2016-01-04,15,56.6
2016-01-04,16,55.2
2016-01-04,17,53.8
2016-01-04,18,52.4
2016-01-04,19,51.0
2016-01-04,20,49.6
2016-01-04,21,48.2
2016-01-04,22,46.8
2016-01-04,23,45.4
2016-01-05,00,42.7
2016-01-05,01,41.3
2016-01-05,02,40.0
2016-01-05,03,38.7
2016-01-05,04,37.3
2016-01-05,05,36.0
2016-01-05,06,38.2
2016-01-05,07,40.4
2016-01-05,08,42.7
2016-01-05,09,44.9
2016-01-05,10,47.1
2016-01-05,11,49.3
2016-01-05,12,51.6
2016-01-05,13,53.8
2016-01-05,14,56.0
2016-01-05,15,54.7
2016-01-05,16,53.3
2016-01-05,17,52.0
2016-01-05,18,50.7
2016-01-05,19,49.3
2016-01-05,20,48.0
2016-01-05,21,46.7
2016-01-05,22,45.3
2016-01-05,23,44.0
2016-01-06,00,48.3
2016-01-06,01,47.9
2016-01-06,02,47.4
2016-01-06,03,46.9
2016-01-06,04,46.5
2016-01-06,05,46.0
2016-01-06,06,46.8
2016-01-06,07,47.6
2016-01-06,08,48.3
2016-01-06,09,49.1
2016-01-06,10,49.9
2016-01-06,11,50.7
2016-01-06,12,51.4
2016-01-06,13,52.2
2016-01-06,14,53.0
2016-01-06,15,52.5
2016-01-06,16,52.1
2016-01-06,17,51.6
2016-01-06,18,51.1
2016-01-06,19,50.7
2016-01-06,20,50.2
2016-01-06,21,49.7
2016-01-06,22,49.3
2016-01-06,23,48.8
2016-01-07,00,57.0
2016-01-07,01,55.4
2016-01-07,02,53.8
2016-01-07,03,52.2
2016-01-07,04,50.6
2016-01-07,05,49.0
2016-01-07,06,51.7
2016-01-07,07,54.3
2016-01-07,08,57.0
2016-01-07,09,59.7
2016-01-07,10,62.3
2016-01-07,11,65.0
2016-01-07,12,67.7
2016-01-07,13,70.3
2016-01-07,14,73.0
2016-01-07,15,71.4
2016-01-07,16,69.8
2016-01-07,17,68.2
2016-01-07,18,66.6
2016-01-07,19,65.0
2016-01-07,20,63.4
2016-01-07,21,61.8
2016-01-07,22,60.2
2016-01-07,23,58.6
2016-01-08,00,51.3
2016-01-08,01,49.9
2016-01-08,02,48.4
2016-01-08,03,46.9
2016-01-08,04,45.5
2016-01-08,05,44.0
2016-01-08,06,46.4
2016-01-08,07,48.9
2016-01-08,08,51.3
2016-01-08,09,53.8
2016-01-08,10,56.2
2016-01-08,11,58.7
2016-01-08,12,61.1
2016-01-08,13,63.6
2016-01-08,14,66.0
2016-01-08,15,64.5
2016-01-08,16,63.1
2016-01-08,17,61.6
2016-01-08,18,60.1
2016-01-08,19,58.7
2016-01-08,20,57.2
2016-01-08,21,55.7
2016-01-08,22,54.3
2016-01-08,23,52.8
2016-01-09,00,44.7
2016-01-09,01,43.3
2016-01-09,02,42.0
2016-01-09,03,40.7
2016-01-09,04,39.3
2016-01-09,05,38.0
2016-01-09,06,40.2
2016-01-09,07,42.4
2016-01-09,08,44.7
2016-01-09,09,46.9
2016-01-09,10,49.1
2016-01-09,11,51.3
2016-01-09,12,53.6
2016-01-09,13,55.8
2016-01-09,14,58.0
2016-01-09,15,56.7
2016-01-09,16,55.3
2016-01-09,17,54.0
2016-01-09,18,52.7
2016-01-09,19,51.3
2016-01-09,20,50.0
2016-01-09,21,48.7
2016-01-09,22,47.3
2016-01-09,23,46.0
2016-01-10,00,38.7
2016-01-10,01,37.5
2016-01-10,02,36.4
2016-01-10,03,35.3
2016-01-10,04,34.1
